Gene,OrigName,PIRATE_Cluster,Af293_name,Af293_Evalue,VOG,VOG_Evalue,Pfam_hits,SPROT_name,SPROT_Evalue,SPROT_gene,SPROT_taxa
B5258-CDC-22_003608-T1,Afum_B5258_CDC_22_mRNA_03535,g003711,Afu3g00450-T-p1,6e-288,NA,NA,NAD_binding_10=6.2e-13;NmrA=2.1e-09,NA,NA,NA,NA
AF100-12-18_003173-T1,Afum_AF100_12_18_mRNA_09383,g003712,Afu8g06785-T-p1,1.1e-163,NA,NA,NA,NA,NA,NA,NA
ASFUM08-19-02-10_003241-T1,Afum_08_19_02_10_mRNA_03176,g003713,Afu1g15970-T-p1,3.4e-235,NA,NA,Aldo_ket_red=5.2e-64,sp|A0A3B1EFQ1|STR7_STRTC,6.6e-72,STR7_STRTC,STRTC
ASFUM08-12-12-13_002975-T1,Afum_08_12_12_13_mRNA_02924,g003714,Afu1g13490-T-p1,5.3e-205,NA,NA,Spermine_synth=1.1e-74;Spermine_synt_N=4.6e-26,sp|Q9Y8H7|SPEE_NEUCR,1.4e-166,SPEE_NEUCR,NEUCR
CF337_000093-T1,Afum_CF337_mRNA_00093,g003715,Afu2g00990-T-p1,2.8e-163,NA,NA,GDPD=1.7e-27,sp|O14169|PGC1_SCHPO,1.1e-24,PGC1_SCHPO,SCHPO
ASFUM08-12-12-13_001450-T1,Afum_08_12_12_13_mRNA_01429,g003716,Afu2g15110-T-p1,0,NA,NA,NA,NA,NA,NA,NA
ASFUM08-19-02-46_009477-T1,Afum_08_19_02_46_mRNA_09276,g003717,Afu8g05970-T-p1,8.2e-284,NA,NA,MBOAT_2=6.2e-22,sp|A0A0M3STV6|AURG_CALAK,1.7e-37,AURG_CALAK,CALAK
ASFUM08-12-12-13_008431-T1,Afum_08_12_12_13_mRNA_08285,g003718,Afu6g08800-T-p1,1.6e-289,NA,NA,BUD22=6.9e-118,sp|O36018|BUD22_SCHPO,1.7e-22,BUD22_SCHPO,SCHPO
AF100-12-21_008815-T1,Afum_AF100_12_21_mRNA_08599,g003719,NA,NA,NA,NA,Cpn10=2.2e-13;Hydrophobin=1.4e-14,NA,NA,NA,NA
AF100-12-2_002813-T1,Afum_AF100_12_2_mRNA_02717,g003720,Afu1g12560-T-p1,1.4e-242,NA,NA,AA9=8.4e-70,sp|O14405|GUN4_HYPJE,5.8e-86,GUN4_HYPJE,HYPJE
AF210_010037-T1,Afum_AF210_mRNA_09851,g003721,Afu8g04970-T-p1,3.8e-243,NA,NA,NTR2=1.3e-50,NA,NA,NA,NA
AF100-12-2_000109-T1,Afum_AF100_12_2_mRNA_00107,g003722,Afu2g01120-T-p1,9.4e-289,NA,NA,HHH=5.7e-10;HhH-GPD=2.8e-23,sp|C8VC05|NTH_EMENI,1.2e-183,NTH_EMENI,EMENI
AZTEC-5-223_002640-T1,Afum_AZTEC_5_223_mRNA_02534,g003723,Afu1g10320-T-p1,6.6e-143,NA,NA,FF=2.4e-16;WW=3.2e-19;WW=3.2e-19,sp|O14176|PRP40_SCHPO,2.3e-31,PRP40_SCHPO,SCHPO
AF100-12-2_000216-T1,Afum_AF100_12_2_mRNA_00212,g003724,Afu2g02165-T-p1,1.9e-235,NA,NA,ELYS=5.9e-69,sp|G0S2G1|ELYS_CHATD,1.7e-44,ELYS_CHATD,CHATD
ASFUM08-12-12-13_002856-T1,Afum_08_12_12_13_mRNA_02805,g003725,Afu1g12380-T-p1,5.2e-255,NA,NA,WD40=9.4e-26;WD40=9.4e-26;WD40=9.4e-26,sp|Q8YRI1|YY46_NOSS1,8.8e-92,YY46_NOSS1,NOSS1
ASFUM08-19-02-30_008260-T1,Afum_08_19_02_30_mRNA_08107,g003726,NA,NA,NA,NA,NA,NA,NA,NA,NA
AZTEC-17-234_004709-T1,Afum_AZTEC_17_234_mRNA_04507,g003727,Afu3g12280-T-p1,2.5e-153,NA,NA,Translin=3e-53,sp|Q9P7V3|TSN1_SCHPO,9.5e-42,TSN1_SCHPO,SCHPO
ASFUM08-19-02-10_004319-T1,Afum_08_19_02_10_mRNA_04241,g003728,Afu5g09890-T-p1,3.4e-290,NA,NA,Fungal_trans_2=3.4e-09;Zn_clus=8.1e-10,NA,NA,NA,NA
AF100-10-5_002454-T1,Afum_AF100_10_5_mRNA_02353,g003729,Afu1g07040-T-p1,1.1e-234,NA,NA,APH=2.1e-10;Fructosamin_kin=6.9e-91,sp|Q8K274|KT3K_MOUSE,3.4e-41,KT3K_MOUSE,MOUSE
ASFUM08-12-12-13_003440-T1,Afum_08_12_12_13_mRNA_03377,g003730,Afu3g00250-T-p1,4.8e-280,NA,NA,FAD_binding_3=2.4e-31;NAD_binding_8=1.4e-06,sp|A0A0H3LKL4|6HN3M_BORBR,2.6e-23,6HN3M_BORBR,BORBR
CM237_010119-T1,Afum_CM237_mRNA_09678,g003731,Afu8g02290-T-p1,1.6e-225,NA,NA,Epimerase=5.3e-10;NAD_binding_10=2.7e-10;NmrA=7.9e-10,sp|A0A411KUU5|UCSJ_ACRSP,2.8e-65,UCSJ_ACRSP,ACRSP
F20063_009683-T1,Afum_F20063_mRNA_09486,g003732,Afu7g01060-T-p1,1.6e-242,NA,NA,NA,NA,NA,NA,NA
AF100-12-2_009553-T1,Afum_AF100_12_2_mRNA_10014,g003733_1,NA,NA,NA,NA,NA,NA,NA,NA,NA
AF106-6-3_007668-T1,Afum_AF106_6_3_mRNA_10044,g003733_2,NA,NA,NA,NA,NA,NA,NA,NA,NA
AF106-6-3_003407-T1,Afum_AF106_6_3_mRNA_10054,g003733_3,NA,NA,NA,NA,NA,NA,NA,NA,NA
AF100-12-35_004931-T1,Afum_AF100_12_35_mRNA_04795,g003734,Afu5g03110-T-p1,3.7e-255,NA,NA,Cyclase=1.6e-16,NA,NA,NA,NA
ASFUM08-19-02-46_007245-T1,Afum_08_19_02_46_mRNA_07089,g003735,Afu4g00450-T-p1,4.3e-179,NA,NA,NA,NA,NA,NA,NA
AF100-12-43_008476-T1,Afum_AF100_12_43_mRNA_08275,g003736,Afu4g09500-T-p1,3.2e-214,NA,NA,PfkB=3.2e-14,sp|Q09839|YAC1_SCHPO,2.1e-43,YAC1_SCHPO,SCHPO
A1163_010498-T1,Afum_A1163_mRNA_10234,g003737,Afu8g07020-T-p1,1.4e-271,NA,NA,FAD_binding_3=3e-21;NAD_binding_8=8.9e-08;Pyr_redox_2=7.1e-10,sp|P86491|6HN3M_PSEFL,2.5e-35,6HN3M_PSEFL,PSEFL
IFM-59361_002743-T1,Afum_IFM_59361_mRNA_02558,g003738,Afu2g09870-T-p1,1.3e-182,NA,NA,eIF3g=1e-44;RRM_1=6.7e-18,sp|B0XS28|EIF3G_ASPFC,7.6e-181,EIF3G_ASPFC,ASPFC
AZTEC-5-223_002768-T1,Afum_AZTEC_5_223_mRNA_02660,g003739,Afu1g11570-T-p1,1.2e-244,NA,NA,GFO_IDH_MocA=1.3e-26;GFO_IDH_MocA_C=1.5e-31,sp|O05389|YRBE_BACSU,4.3e-21,YRBE_BACSU,BACSU
ASFUM08-12-12-13_010026-T1,Afum_08_12_12_13_mRNA_09845,g003740,Afu7g04550-T-p1,1.1e-269,VOG00014,8.5e-33,Kinase-like=3.6e-08;Pkinase=3.1e-43;PK_Tyr_Ser-Thr=2.5e-23,sp|O14019|HAL4_SCHPO,2.7e-80,HAL4_SCHPO,SCHPO
ASFUM09-7500806_001805-T1,Afum_09_7500806_mRNA_01699,g003741,Afu2g00380-T-p1,5e-197,NA,NA,Acetyltransf_1=1.1e-09;Acetyltransf_10=4.1e-07;Acetyltransf_7=3e-08,NA,NA,NA,NA
ASFUM08-19-02-61_004124-T1,Afum_08_19_02_61_mRNA_04050,g003742,Afu3g08600-T-p1,4.8e-206,NA,NA,eIF-5_eIF-2B=4.8e-42,sp|P56329|IF2B_SCHPO,4.3e-76,IF2B_SCHPO,SCHPO
AFIS-23107-CDC-12_006345-T1,Afum_AFIS_23107_CDC_12_mRNA_06159,g003743,Afu3g13120-T-p1,2.2e-238,NA,NA,Porphobil_deam=2.5e-77;Porphobil_deamC=2e-21,sp|Q6C097|HEM3_YARLI,2.3e-97,HEM3_YARLI,YARLI
IFM-59361_008062-T1,Afum_IFM_59361_mRNA_07638,g003744,Afu4g01105-T-p1,3.5e-214,NA,NA,Fungal_trans=4.3e-11,NA,NA,NA,NA
AF100-12-24_003711-T1,Afum_AF100_12_24_mRNA_03524,g003745,Afu3g02250-T-p1,2.8e-229,NA,NA,3Beta_HSD=1.5e-15;Epimerase=1.1e-17;GDP_Man_Dehyd=2.5e-09;NAD_binding_10=9.1e-13;NmrA=5.4e-07,sp|Q9UT59|YKJ7_SCHPO,8.1e-59,YKJ7_SCHPO,SCHPO
AFIS-23107-CDC-12_004794-T1,Afum_AFIS_23107_CDC_12_mRNA_04652,g003746,Afu5g12310-T-p1,6.6e-280,NA,NA,TruB_N=2.6e-48,sp|O59721|PUS4_SCHPO,4.5e-59,PUS4_SCHPO,SCHPO
AF100-12-7G_009129-T1,Afum_AF100_12_7G_mRNA_08743,g003747,NA,NA,NA,NA,NA,NA,NA,NA,NA
AF100-11A_006190-T1,Afum_AF100_11A_mRNA_05999,g003748,Afu5g12590-T-p1,1.4000000000000001e-160,NA,NA,NA,NA,NA,NA,NA
CM2730_006965-T1,Afum_CM2730_mRNA_06754,g003749,Afu4g09200-T-p1,2.9e-189,NA,NA,NA,NA,NA,NA,NA
ASFUM08-12-12-13_005947-T1,Afum_08_12_12_13_mRNA_05840,g003750,Afu5g10980-T-p1,8.4e-200,NA,NA,NA,NA,NA,NA,NA
ASFUM117535A-1_009259-T1,Afum_117535A_1_1_mRNA_09093,g003751,Afu8g01637-T-p1,4.7e-174,NA,NA,NA,sp|S0DQ98|FSR4_GIBF5,7.9e-23,FSR4_GIBF5,GIBF5
ASFUM08-31-08-91_005860-T1,Afum_08_31_08_91_mRNA_05756,g003752,Afu5g10400-T-p1,9.1e-238,NA,NA,NA,NA,NA,NA,NA
AF293_005280-T1,Afum_AF293_mRNA_05188,g003753,Afu5g03730-T-p1,3.9e-251,NA,NA,NA,NA,NA,NA,NA
ASFUM08-12-12-13_000024-T1,Afum_08_12_12_13_mRNA_00024,g003754,Afu2g00320-T-p1,2.9e-234,NA,NA,FA_hydroxylase=1.1e-26,sp|Q7SBB6|ERG3_NEUCR,6.8e-136,ERG3_NEUCR,NEUCR
IFM-61578_007125-T1,Afum_IFM_61578_mRNA_06914,g003755,Afu6g08780-T-p1,6.8e-236,NA,NA,NA,sp|P53110|YGP9_YEAST,5.1e-30,YGP9_YEAST,YEAST
ATCC46645_002470-T1,Afum_ATCC46645_mRNA_02325,g003756,Afu1g06910-T-p1,4.5e-263,NA,NA,Glyco_hydro_53=2.8e-109,sp|Q4WJ80|GANA_ASPFU,3.7e-243,GANA_ASPFU,ASPFU
AF100-12-21_007666-T1,Afum_AF100_12_21_mRNA_07469,g003757,Afu4g07435-T-p1,8.1e-100,NA,NA,Ribosomal_L36e=1.1e-40,sp|Q9HFR7|RL36_TRIHM,5.4e-40,RL36_TRIHM,TRIHM
ASFUM08-12-12-13_007449-T1,Afum_08_12_12_13_mRNA_07317,g003758,Afu4g12780-T-p1,1.8e-195,NA,NA,4HBT=3.6e-08;4HBT_2=4.7e-28,NA,NA,NA,NA
M5960-D_003464-T1,Afum_M5960_D_mRNA_03396,g003759,Afu3g01180-T-p1,1.2e-226,NA,NA,DAO=3.9e-41,sp|Q827H4|MSOX_STRAW,2.8e-54,MSOX_STRAW,STRAW
ASFUM08-12-12-13_008127-T1,Afum_08_12_12_13_mRNA_07982,g003760,Afu6g04980-T-p1,9.1e-264,NA,NA,FAD_binding_6=5.2e-09;NAD_binding_1=2.2e-09,NA,NA,NA,NA
W72310_001765-T1,Afum_W72310_mRNA_01602,g003761,Afu3g02580-T-p1,2.4e-85,NA,NA,adh_short=2e-23;adh_short_C2=4.1e-14;KR=3.9e-10,sp|C8V3Y7|ATND_EMENI,1.2e-43,ATND_EMENI,EMENI
ASFUM08-12-12-13_003764-T1,Afum_08_12_12_13_mRNA_03689,g003762,Afu3g03180-T-p1,7.9e-244,NA,NA,GFO_IDH_MocA=2.3e-20;GFO_IDH_MocA_C=3.3e-15,sp|P40332|IOLX_BACSU,1.8e-40,IOLX_BACSU,BACSU
ASFUM08-12-12-13_003623-T1,Afum_08_12_12_13_mRNA_03553,g003763,Afu3g01820-T-p1,5.4e-135,NA,NA,NA,NA,NA,NA,NA
ASFUM08-12-12-13_005613-T1,Afum_08_12_12_13_mRNA_05517,g003764,Afu5g07690-T-p1,1.1e-156,NA,NA,Methyltransf_11=6.2e-12;Methyltransf_23=2.4e-17,NA,NA,NA,NA
ASFUM08-12-12-13_003917-T1,Afum_08_12_12_13_mRNA_03838,g003765,Afu3g05610-T-p1,1.8e-251,NA,NA,NA,NA,NA,NA,NA
AF100-10A_009949-T1,Afum_AF100_10A_mRNA_09596,g003766,Afu7g04920-T-p1,1.2e-86,NA,NA,NA,NA,NA,NA,NA
F18304_004503-T1,Afum_F18304_mRNA_04433,g003767,Afu3g11920-T-p1,7.9e-212,NA,NA,DHDPS=2.3e-32;DHDPS=2.3e-32,sp|A8DRH7|LGA1_ASPNG,2.2e-179,LGA1_ASPNG,ASPNG
ASFUM08-12-12-13_006308-T1,Afum_08_12_12_13_mRNA_06185,g003768,Afu5g14315-T-p1,9.2e-254,NA,NA,NA,NA,NA,NA,NA
ASFUM08-12-12-13_009597-T1,Afum_08_12_12_13_mRNA_09429,g003769,Afu8g06830-T-p1,1.9e-234,NA,NA,AA9=1.7e-61;CBM_1=2e-13,sp|Q4WBU0|EGLD_ASPFU,1.1e-232,EGLD_ASPFU,ASPFU
CM2495_003177-T1,Afum_CM2495_mRNA_03084,g003770,Afu1g16670-T-p1,1e-234,NA,NA,NA,NA,NA,NA,NA
ASFUM08-12-12-13_004528-T1,Afum_08_12_12_13_mRNA_04442,g003771,Afu3g11630-T-p1,8.7e-232,NA,NA,DUF4078=3.1e-28,NA,NA,NA,NA
CM3249b_004258-T1,Afum_CM3249b_mRNA_04146,g003772,Afu3g09470-T-p1,9.4e-175,NA,NA,NAD_binding_11=1e-14;NAD_binding_2=2e-14,sp|Q54CX6|3HIDH_DICDI,2.7e-24,3HIDH_DICDI,DICDI
CM4946_001405-T1,Afum_CM4946_mRNA_01382,g003773,Afu2g15420-T-p1,6.5e-172,NA,NA,GH131_N=1.8e-72,NA,NA,NA,NA
ASFUM08-12-12-13_004954-T1,Afum_08_12_12_13_mRNA_04864,g003774,Afu5g00650-T-p1,5e-236,NA,NA,DUF3632=3.8e-29,NA,NA,NA,NA
AF100-12-2_009498-T1,Afum_AF100_12_2_mRNA_09260,g003775,NA,NA,NA,NA,Zn_clus=9.7e-08,NA,NA,NA,NA
AZTEC-11-1066_003385-T1,Afum_AZTEC_11_1066_mRNA_03232,g003776,Afu6g04370-T-p1,7.8e-219,NA,NA,NA,NA,NA,NA,NA
ASFUM1F1SW-F4_001813-T1,Afum_1F1SW_F4_mRNA_01787,g003777,Afu1g01610-T-p1,6.9e-224,NA,NA,NA,NA,NA,NA,NA
ASFUM08-12-12-13_004848-T1,Afum_08_12_12_13_mRNA_04759,g003778,Afu3g14770-T-p1,3.3e-226,NA,NA,3Beta_HSD=6.3e-07;Epimerase=1.4e-18;NAD_binding_10=1e-07;NmrA=1.4e-06,sp|Q9UT59|YKJ7_SCHPO,1.6e-35,YKJ7_SCHPO,SCHPO
ASFUM12-7504462_000154-T1,Afum_12_7504462_mRNA_00152,g003779,Afu2g01490-T-p1,1.1e-144,NA,NA,NA,NA,NA,NA,NA
ASFUM10-01-02-27_003183-T1,Afum_10_01_02_27_mRNA_03129,g003780,NA,NA,NA,NA,NA,NA,NA,NA,NA
AF100-12-40_006994-T1,Afum_AF100_12_40_mRNA_06781,g003781,Afu6g08630-T-p1,2.3e-125,NA,NA,ApoO=2.2e-39,NA,NA,NA,NA
W72310_007390-T1,Afum_W72310_mRNA_07065,g003782,Afu4g01200-T-p1,3.3e-174,NA,NA,NA,NA,NA,NA,NA
DMC2-AF100-1-20-OE_007829-T1,Afum_DMC2_AF100_1_20_OE_mRNA_07690,g003783,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASFUM08-12-12-13_009073-T1,Afum_08_12_12_13_mRNA_08919,g003784,Afu8g00700-T-p1,2.1e-227,NA,NA,Glyco_hydro_18=2.7e-26,sp|E9F9R9|CHI2_METRA,1.4000000000000001e-140,CHI2_METRA,METRA
ASFUM08-12-12-13_009482-T1,Afum_08_12_12_13_mRNA_09319,g003785,Afu8g05540-T-p1,3.6e-235,NA,NA,NA,NA,NA,NA,NA
AZTEC-10-245_003575-T1,Afum_AZTEC_10_245_mRNA_03471,g003786,Afu3g01280-T-p1,1.9e-204,NA,NA,Abhydrolase_1=1.2e-10;Abhydrolase_6=2.4e-19;Hydrolase_4=4.6e-12,sp|I1R9B1|GRA11_GIBZE,1.1e-37,GRA11_GIBZE,GIBZE
AF100-12-8_008939-T1,Afum_AF100_12_8_mRNA_08623,g003787,Afu8g00380-T-p1,1.9e-204,NA,NA,Abhydrolase_6=5.9e-08;BAAT_C=6.9e-06;Hydrolase_4=1.9e-12,sp|Q4WAY4|FMAC_ASPFU,1.1e-202,FMAC_ASPFU,ASPFU
AZTEC-17-234_009525-T1,Afum_AZTEC_17_234_mRNA_09212,g003788,NA,NA,NA,NA,Rot1=4e-95,sp|A1DCU0|ROT1_NEOFI,8.6e-152,ROT1_NEOFI,NEOFI
AZTEC-11-1066_007338-T1,Afum_AZTEC_11_1066_mRNA_07097,g003789,Afu4g10840-T-p1,5.1e-221,NA,NA,NA,sp|Q9C0W1|NRK1_SCHPO,3.5e-24,NRK1_SCHPO,SCHPO
ASFUM08-12-12-13_008685-T1,Afum_08_12_12_13_mRNA_08537,g003790,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASFUM08-12-12-13_004941-T1,Afum_08_12_12_13_mRNA_04851,g003791,Afu5g00540-T-p1,3.6e-208,NA,NA,NA,sp|P27622|TAGC_BACSU,4.6e-21,TAGC_BACSU,BACSU
AF100-12-24_010084-T1,Afum_AF100_12_24_mRNA_09771,g003792,Afu7g05940-T-p1,2.7e-157,NA,NA,NA,NA,NA,NA,NA
AF100-12-4_007588-T1,Afum_AF100_12_4_mRNA_07364,g003793,Afu4g00440-T-p1,3.2e-174,NA,NA,adh_short=3e-18;adh_short_C2=5.4e-11,sp|B6HLP6|CHYC_PENRW,8.8e-117,CHYC_PENRW,PENRW
ASFUM08-12-12-13_005302-T1,Afum_08_12_12_13_mRNA_05209,g003794,Afu5g03750-T-p1,4.2e-172,NA,NA,WW=1.7e-12,NA,NA,NA,NA
ASFUM08-12-12-13_006662-T1,Afum_08_12_12_13_mRNA_06536,g003795,Afu4g03530-T-p1,1.8e-185,NA,NA,DUF3425=7.9e-13,NA,NA,NA,NA
ASFUM08-12-12-13_008708-T1,Afum_08_12_12_13_mRNA_08560,g003796,Afu6g11740-T-p1,4.1e-205,NA,NA,Epimerase=8.1e-07;KR=4.9e-07;NAD_binding_10=2.2e-13;NmrA=5.7e-29,NA,NA,NA,NA
ASFUM08-19-02-30_007107-T1,Afum_08_19_02_30_mRNA_06990,g003797,Afu5g08790-T-p1,1.2e-199,NA,NA,SRR1=1.6e-17,NA,NA,NA,NA
COH-885_009390-T1,Afum_COH_885_mRNA_09055,g003798,Afu8g01080-T-p1,1.5e-121,NA,NA,CVNH=6.4e-17,NA,NA,NA,NA
ASFUM08-19-02-30_003703-T1,Afum_08_19_02_30_mRNA_03626,g003799,Afu3g02640-T-p1,1.9e-208,NA,NA,NA,sp|A2TBU1|EASG_EPIFI,8e-62,EASG_EPIFI,EPIFI
ASFUM08-12-12-13_009664-T1,Afum_08_12_12_13_mRNA_09494,g003800,Afu7g00180-T-p1,3.1e-212,NA,NA,Epimerase=8.6e-13;NAD_binding_10=9.1e-08;NmrA=2.5e-08;RmlD_sub_bind=6.8e-11,sp|Q9Y7K4|YGI2_SCHPO,4.1e-44,YGI2_SCHPO,SCHPO
CM7632_009928-T1,Afum_CM7632_mRNA_09725,g003801,Afu8g01530-T-p1,4.6e-152,NA,NA,Hemerythrin=4.4e-15,sp|Q9URY9|YI06_SCHPO,1.8e-65,YI06_SCHPO,SCHPO
ASFUM08-12-12-13_007926-T1,Afum_08_12_12_13_mRNA_07785,g003802,Afu6g03120-T-p1,2.2e-162,NA,NA,zf-C2H2=4.1e-07,NA,NA,NA,NA
ASFUM08-19-02-30_009812-T1,Afum_08_19_02_30_mRNA_09634,g003803,Afu8g01290-T-p1,1.5e-147,NA,NA,NA,NA,NA,NA,NA
DMC2AF100-1-3_010130-T1,Afum_DMC2_AF100_1_3_mRNA_09748,g003804,Afu8g07160-T-p1,3.5e-110,NA,NA,NA,NA,NA,NA,NA
CM3720_004850-T1,Afum_CM3720_mRNA_04707,g003805_1,Afu3g15350-T-p1,6.8e-154,NA,NA,adh_short=1e-38;adh_short_C2=1.6e-31;Epimerase=7.5e-08;KR=3.6e-12,sp|A0A4P8GEE8|EUPG_PHOSX,1.7e-28,EUPG_PHOSX,PHOSX
DMC2-AF100-1-24_001587-T1,Afum_DMC2_AF100_1_24_mRNA_09539,g003805_2,Afu3g15350-T-p1,8.6e-94,NA,NA,adh_short=5.3e-26;adh_short_C2=7.7e-19;KR=5e-09,NA,NA,NA,NA
F21732_008946-T1,Afum_F21732_mRNA_08743,g003806,Afu7g00970-T-p1,2.3e-109,NA,NA,NA,NA,NA,NA,NA
ASFUM08-12-12-13_009167-T1,Afum_08_12_12_13_mRNA_09013,g003807,Afu8g01550-T-p1,2.3e-162,NA,NA,adh_short=1.2e-45;adh_short_C2=4.2e-58;KR=5.8e-10,sp|A0A384JQF5|ABA4_BOTFB,4.6e-45,ABA4_BOTFB,BOTFB
IFM-59359_006528-T1,Afum_IFM_59359_mRNA_06087,g003808,Afu6g00555-T-p1,1.6e-92,NA,NA,NA,NA,NA,NA,NA
CM4946_007079-T1,Afum_CM4946_mRNA_06884,g003809,Afu6g09700-T-p1,1.3e-190,NA,NA,NA,sp|E9R9Y3|GLIK_ASPFU,7.5e-189,GLIK_ASPFU,ASPFU
ASFUM08-12-12-13_001780-T1,Afum_08_12_12_13_mRNA_01748,g003810,Afu1g01120-T-p1,7.4e-165,NA,NA,Pectate_lyase=5.4e-88,sp|B0Y953|PLYF_ASPFC,2.3e-164,PLYF_ASPFC,ASPFC
ASFUM08-12-12-13_005003-T1,Afum_08_12_12_13_mRNA_04913,g003811,Afu5g00900-T-p1,6.7e-197,NA,NA,RGS=5.8e-11,NA,NA,NA,NA
SF2S9_009433-T1,Afum_SF2S9_mRNA_09233,g003812,Afu8g06600-T-p1,2.8e-161,NA,NA,3Beta_HSD=2.2e-08;Epimerase=7.9e-15;GDP_Man_Dehyd=6.9e-09;NAD_binding_10=6.6e-14;NmrA=2.1e-09;RmlD_sub_bind=1.7e-09;TrkA_N=5.4e-07,sp|Q9Y7K4|YGI2_SCHPO,1.1e-61,YGI2_SCHPO,SCHPO
ASFUM08-12-12-13_010214-T1,Afum_08_12_12_13_mRNA_10032,g003813,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASFUM08-12-12-13_004947-T1,Afum_08_12_12_13_mRNA_04857,g003814,Afu5g00600-T-p1,3.3e-162,NA,NA,NPP1=2.2e-63,sp|L7NCS1|NLP10_PHYCP,3.1e-60,NLP10_PHYCP,PHYCP
ASFUM08-12-12-13_006514-T1,Afum_08_12_12_13_mRNA_06391,g003815,Afu4g01290-T-p1,1.2e-163,NA,NA,Glyco_hydro_75=2e-66,sp|Q875I9|CSN_ASPFM,6.7e-162,CSN_ASPFM,ASPFM
ASFUM08-12-12-13_003370-T1,Afum_08_12_12_13_mRNA_03308,g003816,Afu1g17360-T-p1,4.3e-188,NA,NA,NA,sp|Q4WVQ7|ATFB_ASPFU,7.1e-24,ATFB_ASPFU,ASPFU
ASFUM08-19-02-30_009669-T1,Afum_08_19_02_30_mRNA_09495,g003817,Afu5g00220-T-p1,6.1e-124,NA,NA,NA,NA,NA,NA,NA
ASFUM08-19-02-10_009350-T1,Afum_08_19_02_10_mRNA_09197,g003818,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASFUM08-19-02-46_008092-T1,Afum_08_19_02_46_mRNA_07927,g003819,Afu4g11290-T-p1,0,NA,NA,BLM10_mid=6.1e-204;BLM10_N=5.7e-22;DUF3437=2.3e-32,sp|Q5SSW2|PSME4_MOUSE,2e-99,PSME4_MOUSE,MOUSE
ASFUM08-12-12-13_008787-T1,Afum_08_12_12_13_mRNA_08639,g003820,Afu6g12400-T-p1,0,NA,NA,FKS1_dom1=5e-47;Glucan_synthase=0,sp|A2QLK4|FKS1_ASPNC,0,FKS1_ASPNC,ASPNC
ASFUM09-7500806_009629-T1,Afum_09_7500806_mRNA_09384,g003821,Afu7g08310-T-p1,5.2e-202,NA,NA,DUF3723=2.1e-180,NA,NA,NA,NA
AF100-10A_005354-T1,Afum_AF100_10A_mRNA_05125,g003822,Afu5g06550-T-p1,0,NA,NA,NA,NA,NA,NA,NA
IFM-58026_006774-T1,Afum_IFM_58026_mRNA_06585,g003823,Afu6g06335-T-p1,0,NA,NA,N-SET=6.3e-59;SET=1.5e-18;SET_assoc=2.3e-29,sp|Q4WNH8|SET1_ASPFU,0,SET1_ASPFU,ASPFU
ASFUM08-19-02-30_008233-T1,Afum_08_19_02_30_mRNA_08081,g003824,Afu6g07030-T-p1,0,VOG00438,5.7e-29,AAA_22=1.4e-08;Ank=5.8e-49;Ank=5.8e-49;Ank=5.8e-49;Ank=5.8e-49;Ank=5.8e-49;Ank=5.8e-49;Ank_2=1.7e-70;Ank_2=1.7e-70;Ank_2=1.7e-70;Ank_2=1.7e-70;Ank_2=1.7e-70;Ank_2=1.7e-70;Ank_3=5e-52;Ank_3=5e-52;Ank_3=5e-52;Ank_3=5e-52;Ank_4=5.1e-60;Ank_4=5.1e-60;Ank_4=5.1e-60;Ank_5=1.1e-39;NACHT=3.1e-08,sp|G5E8K5|ANK3_MOUSE,5.5e-103,ANK3_MOUSE,MOUSE
ASFUM08-19-02-46_005064-T1,Afum_08_19_02_46_mRNA_04953,g003825,Afu3g06820-T-p1,0,NA,NA,FAD-oxidase_C=1.7e-64;FAD_binding_4=7.3e-36;Semialdhyde_dh=6e-31;Semialdhyde_dhC=5.2e-35,sp|Q12627|DLD1_KLULA,1.1e-137,DLD1_KLULA,KLULA
AF100-12-18_006197-T1,Afum_AF100_12_18_mRNA_06031,g003826,Afu6g03630-T-p1,0,NA,NA,AMP-binding=2.6e-77;BBE=2e-12;FAD_binding_4=2.7e-13,sp|Q8J0E9|CEFD1_ACRCH,1.4e-189,CEFD1_ACRCH,ACRCH
AF100-12-13_007462-T1,Afum_AF100_12_13_mRNA_07198,g003827,Afu6g13540-T-p1,0,NA,NA,Carbpep_Y_N=8.1e-12;Peptidase_S10=3.8e-132,sp|Q5VJG9|CBPYA_ASPFU,0,CBPYA_ASPFU,ASPFU
ASFUM09-7500806_000012-T1,Afum_09_7500806_mRNA_00012,g003828_1,NA,NA,NA,NA,NA,NA,NA,NA,NA
AFIS-23107-CDC-12_005106-T1,Afum_AFIS_23107_CDC_12_mRNA_04954,g003828_2,NA,NA,NA,NA,NA,NA,NA,NA,NA
IFM-59359_001733-T1,Afum_IFM_59359_mRNA_09893,g003828_3,NA,NA,NA,NA,NA,NA,NA,NA,NA
