AZTEC-11-1066_000331-T1	14-3-3=3.3e-107
MO68507EXP_009061-T1	DEAD=3.3e-09;Helicase_C=1.3e-12
ASFUM84-NIH_005469-T1	Ribosomal_L34=3.2e-19
ASFUM09-7500806_009638-T1	NACHT=1.2e-09
ASFUM08-12-12-13_000338-T1	DUF2205=2.3e-36
F20063_003899-T1	His_Phos_2=2.5e-113;PPIP5K2_N=2.2e-38;RimK=2.6e-07
IFM-62516_001663-T1	ADH_N=4.5e-20;ADH_zinc_N=1.3e-20
AF72_009608-T1	Ham1p_like=5.3e-10
COH-400_001891-T1	Complex1_LYR=6.2e-12
ASFUM08-12-12-13_006072-T1	Phosducin=8.1e-16
ASFUM08-12-12-13_004501-T1	Img2=8.4e-28
ASFUM08-12-12-13_002640-T1	DSS1_SEM1=1.2e-25
IFM-59361_001762-T1	FAD_binding_4=1.4e-16
IFM-59361_010749-T1	DUF2841=9e-27
AFIS1435-CDC-6_009367-T1	Sugar_tr=4.8e-16
NCPF-7822_001768-T1	GTP_EFTU_D3=7.4e-34
ASFUM08-12-12-13_008166-T1	Rad60-SLD=1.3e-20
ASFUM12-7504462_006455-T1	Sulfatase=8.7e-78
ASFUM08-12-12-13_003476-T1	Aegerolysin=2.7e-55
ASFUM08-12-12-13_003043-T1	Aminotran_1_2=7.5e-64
ASFUM12-7505054_001014-T1	Myb_DNA-binding=3.2e-07
B5269-CDC-24_004172-T1	Pkinase_fungal=3.7e-137
AFIS-23107-CDC-12_001870-T1	Na_H_Exchanger=4.9e-50
ASFUM09-7500806_003752-T1	Chitin_bind_1=6.4e-14;Glyco_hydro_18=1e-70
ASFUM08-19-02-30_003433-T1	HlyIII=4.3e-15
IFM-59361_007945-T1	DUF3589=4e-61;DUF3589=4e-61
ASFUM08-36-03-25_003927-T1	HAD_2=2.1e-13
ASFUM10-01-02-27_009736-T1	BTB=6e-16
ASFUM08-12-12-13_009884-T1	Methyltransf_16=3e-09
B5258-CDC-22_001841-T1	Ribosomal_S21e=1.5e-08
ASFUM08-12-12-13_004025-T1	Putative_PNPOx=2.5e-12
F16311_005469-T1	APH=4.7e-13
ASFUM08-12-12-13_001954-T1	zf-CCCH=1.8e-21
ASFUM09-7500806_004125-T1	LysM=6.3e-28;LysM=6.3e-28;LysM=6.3e-28;LysM=6.3e-28
ASFUM08-19-02-30_010224-T1	bZIP_1=3.1e-08
ASFUM08-19-02-30_001696-T1	APH=2.2e-13
ASFUM08-19-02-10_001842-T1	GST_C=2.4e-06;GST_C_2=3.7e-07;GST_N_2=1.5e-07;GST_N_3=2e-09
AF100-12-18_006689-T1	zf-C2H2=8.5e-10
CM5757_000299-T1	Fungal_trans_2=1.2e-06
ASFUM08-19-02-10_003845-T1	MARVEL=1.1e-22
IFM-62516_001749-T1	AAA=3e-19
ASFUM08-12-12-13_005394-T1	zf-Tim10_DDP=2.8e-23
IFM-59073_001777-T1	Oxidored_FMN=1.7e-34
COH-400_000681-T1	I-set=3.8e-62;I-set=3.8e-62;I-set=3.8e-62;ig=2e-20;Ig_2=2.8e-28;Ig_2=2.8e-28;Ig_3=6e-41;Ig_3=6e-41
ASFUM08-12-12-13_001217-T1	GrpE=1.7e-42
ASFUM12-7504462_001889-T1	Ank=8.8e-21;Ank=8.8e-21;Ank=8.8e-21;Ank_2=8.7e-39;Ank_2=8.7e-39;Ank_3=2e-22;Ank_3=2e-22;Ank_4=3.5e-25;Ank_4=3.5e-25;Ank_4=3.5e-25;F-box=3e-06
ASFUM08-19-02-30_001720-T1	PNP_UDP_1=7.4e-16
ASFUM08-12-12-13_008876-T1	SBDS=4.8e-27
F7763_001798-T1	OrsD=8.8e-32
ASFUM08-12-12-13_002878-T1	Dabb=8.3e-20
B6081_003281-T1	NACHT_N=1.1e-24
ASFUM10-01-02-27_009017-T1	DAO=5.7e-35
IFM-59073_003452-T1	ABC_tran=6.2e-18;UvrA_DNA-bind=1.5e-12
IFM-59359_001725-T1	Copper-fist=8.8e-14
AF100-11A_006763-T1	Pet100=1.6e-21
ASFUM08-12-12-13_001510-T1	TFIIA_gamma_C=5.2e-26;TFIIA_gamma_N=4.4e-25
CM4602_010260-T1	Fungal_trans_2=2.1e-07;Zn_clus=6.3e-11
ASFUM08-19-02-46_006213-T1	Nop10p=2.9e-22
AF106-6-3_006329-T1	ATP-synt_ab=7.5e-76;ATP-synt_ab_C=2.5e-45;ATP-synt_ab_N=6.1e-17
ASFUM84-NIH_008903-T1	FAD_binding_4=4.8e-28
ASFUM08-19-02-46_000697-T1	RNA_POL_M_15KD=1.1e-12;TFIIS_C=2.3e-16
B7594-CDC-27_006458-T1	MFS_1=7.9e-37;TRI12=1.5e-09
COH-371_001630-T1	Ank=3.4e-11;Ank_2=1.2e-12;Ank_3=5.8e-11;Ank_4=3.7e-12
COH-885_001779-T1	GTP_EFTU=1.3e-56;GTP_EFTU_D2=1.5e-10
ASFUM08-12-12-13_000240-T1	DASH_Spc19=4.4e-53
B5269-CDC-24_009460-T1	Pkinase_fungal=1.2e-136
ASFUM08-12-12-13_004601-T1	Pmp3=9.2e-27
CM2141_008515-T1	Zn_clus=1.1e-09
TP32_007647-T1	GH43_C2=1.1e-17;Glyco_hydro_43=1e-64
F13619_007970-T1	MFS_1=5.9e-12
ASFUM08-19-02-30_001714-T1	2-oxoacid_dh=1.9e-79;Biotin_lipoyl=1.6e-14;E3_binding=3.8e-14
ASFUM12-7504462_000986-T1	TMEM208_SND2=7.6e-55
ASFUM08-12-12-13_005377-T1	Ribosomal_S3Ae=4.8e-80
COH-762_001712-T1	HSP90=1.6e-82
ASFUM08-12-12-13_006823-T1	CHD5=1.9e-64
COH-371_001616-T1	DUF4749=5.5e-29
ASFUM08-19-02-10_008479-T1	Ribosomal_L36=3.2e-22
ASFUM08-12-12-13_000410-T1	LSM=7.6e-10
AZTEC-6-232_006265-T1	Fungal_trans=6e-12
DMC2AF100-1-3_003664-T1	Transketolase_N=7.8e-109;Transket_pyr=4.1e-40
IFM-61407_004793-T1	Fungal_trans=6.8e-09
IFM-59359_005116-T1	DAO=1.8e-31
IFM-59359_003900-T1	FMO-like=3.9e-19;K_oxygenase=9.6e-08;Pyr_redox_2=2e-08;Pyr_redox_3=4.8e-14
ASFUM09-7500806_001772-T1	SLATT_fungal=3.1e-25
IFM-61407_000484-T1	Fuz_longin_1=1.6e-35
DMC2AF100-1-3_009310-T1	6PF2K=9.5e-79;His_Phos_1=1.5e-41;KTI12=3.3e-07
AF100-12-8_006046-T1	Fungal_trans=2.4e-06;Zn_clus=1.6e-08
AZTEC-18-233_008304-T1	PLA2_B=1e-202
ATCC46645_002963-T1	MFS_1=1.5e-42
AF100-12-17_005880-T1	PPR=7.7e-29;PPR=7.7e-29;PPR=7.7e-29;PPR=7.7e-29;PPR_1=1.2e-21;PPR_2=6e-45;PPR_2=6e-45;PPR_3=3.8e-36;PPR_3=3.8e-36;PPR_long=1.2e-19
CF098_001479-T1	APH=1.5e-08;Choline_kinase=6.2e-64;Choline_kin_N=1.4e-14
IFM-59777_005855-T1	tRNA-synt_1e=4.2e-116
ASFUM08-12-12-13_006776-T1	DPM3=2e-38
AZTEC-11-1066_005887-T1	Dymeclin=8.8e-90;Hid1=0
IFM-61578_003994-T1	PH_9=2.9e-23;Sec7=4e-29
IFM-62516_001688-T1	DUF3723=3e-189
ATCC46645_000851-T1	Aminotran_1_2=5.6e-84
IFM-59361_008840-T1	DUF3435=6.8e-154
F12865_003501-T1	MFS_1=2.4e-36;MFS_4=2.1e-08
F20063_006413-T1	MFS_1=8.1e-19;Sugar_tr=3.9e-120
B5852_005015-T1	Fungal_trans=1.3e-13
ASFUM08-31-08-91_006350-T1	DUF3723=5.3e-189
ASFUM08-19-02-30_001716-T1	FAD-oxidase_C=6.8e-63;FAD_binding_4=8.5e-37
IFM-59359_007325-T1	Clathrin=3.4e-26;VPS11_C=2.2e-21;zf-C3H2C3=8e-10
AZTEC-2-251_008718-T1	AAA_11=1.8e-34;AAA_11=1.8e-34;AAA_12=4.6e-55;AAA_19=1.1e-13;AAA_30=6e-16;Cas_Cas4=5e-07;Dna2=5e-72;PDDEXK_1=1.2e-09
JN10_000165-T1	TPR_1=2.4e-37;TPR_16=4e-22;TPR_16=4e-22;TPR_19=1.4e-16;TPR_2=2.4e-35;TPR_7=1.1e-10;TPR_8=1.1e-17;TPR_8=1.1e-17
AF100-12-21_007825-T1	DUF3543=9.2e-102;Pkinase=4.4e-63;PK_Tyr_Ser-Thr=2.8e-44
AF100-12-18_000010-T1	Aa_trans=1e-38
CM4602_009811-T1	FPN1=4.4e-99;FPN1=4.4e-99
ATCC46645_008975-T1	CAP_GLY=1.8e-22
IFM-59356-2_002635-T1	zf-C2H2=1.3e-20;zf-C2H2=1.3e-20;zf-C2H2=1.3e-20;zf-C2H2_4=7.1e-11;zf-C2H2_6=6.7e-11;zf-C2H2_6=6.7e-11;zf-met=2.5e-08
CM4602_003628-T1	Fungal_trans=2.4e-13
IFM-59359_009028-T1	MFS_1=1.3e-28;Sugar_tr=1.9e-79;Sugar_tr=1.9e-79
IFM-61407_009880-T1	PTR2=3e-79
AF100-12-3G_000498-T1	NUP214=1.7e-09
AF100-12-8_010058-T1	GH43_C2=5.1e-39;Glyco_hydro_43=1.4e-67
ASFUM08-19-02-30_001693-T1	CVNH=1.5e-14
IFM-60514_005781-T1	Dymeclin=6.5e-92;Hid1=0
IFM-62516_001672-T1	F-box-like=4.8e-07
AF100-12-4_009831-T1	RRM_1=1.3e-11
AF106-6-3_003136-T1	Helicase_C=5.2e-16;ResIII=3.6e-10;SNF2-rel_dom=1.8e-62
IFM-59361_001770-T1	PNP_UDP_1=1.1e-09
ASFUM12-7505446_006103-T1	AA_permease=1.6e-26;AA_permease_2=4.4e-46
AF100-12-7G_003306-T1	TRAPPC-Trs85=2.5e-112
AZTEC-14-484_000455-T1	ABC1=2.2e-07;PBD=5.6e-23;Pkinase=8.6e-73;Pkinase_fungal=4.2e-07;PK_Tyr_Ser-Thr=4.6e-47
JN10_003219-T1	HEAT=2.5e-29;HEAT=2.5e-29;HEAT_EZ=2.4e-33
AF100-12-2W_007911-T1	AFG1_ATPase=5.4e-93
AF100-12-7_002822-T1	PI-PLC-X=1.1e-60;PI-PLC-Y=1e-45
B6081_001634-T1	SecA_DEAD=1.6e-123;SecA_PP_bind=5.1e-35;SecA_SW=5.7e-58
NCPF-7816_002344-T1	Alpha_adaptinC2=5.5e-25;GAT=6.9e-24;GGA_N-GAT=2.3e-10;VHS=3.2e-46
AF100-10-5_000469-T1	GAT=1.1e-11;SH3_1=8.1e-18;SH3_2=3.4e-15;SH3_9=1.2e-15;VHS=4.6e-38
AF100-12-8_002487-T1	Rrn6=1.8e-211
AZTEC-10-245_002453-T1	Fungal_trans=2.9e-31;Zn_clus=1.6e-09
AF100-10B_001471-T1	S1=1.1e-67;S1=1.1e-67;S1=1.1e-67;S1=1.1e-67;S1=1.1e-67
AF100-12-7_001576-T1	AAA=1.5e-98;AAA=1.5e-98;AAA_2=1.6e-15;AAA_5=1.3e-12;AAA_lid_3=6.3e-25;AAA_lid_3=6.3e-25;CDC48_2=9.7e-11;CDC48_N=2.3e-20;RuvB_N=1.4e-15;RuvB_N=1.4e-15;Vps4_C=5.5e-08
CEA10_006190-T1	PC_rep=1.9e-15;PC_rep=1.9e-15;RPN1_C=2.6e-31;RPN1_RPN2_N=1.4e-109;RPN1_RPN2_N=1.4e-109
AF106-6-9_003577-T1	ABC2_membrane=1.7e-88;ABC2_membrane=1.7e-88;ABC2_membrane_7=8.6e-19;ABC_tran=9.6e-39;ABC_tran=9.6e-39;ABC_trans_N=1.6e-07;PDR_CDR=3.2e-27
AF100-12-10_005179-T1	ERCC3_RAD25_C=2.5e-128;Helicase_C=9.3e-15;Helicase_C_3=4.2e-37;ResIII=2e-16;SNF2-rel_dom=5.8e-12
AF106-6-9_002637-T1	ABC_tran=2.5e-36;ABC_tran=2.5e-36;Fer4=4.7e-06;RLI=1.9e-15
CM6458_005628-T1	Biotin_carb_C=1.6e-35;Biotin_carb_N=1.6e-31;Biotin_lipoyl=3.4e-12;CPSase_L_D2=4.9e-49;Dala_Dala_lig_C=2.5e-08
JN10_007802-T1	RPE65=2.5e-118
ASFUM08-31-08-91_006368-T1	PALP=1.6e-51
DMC2AF100-1-3_006062-T1	Pkinase=9.1e-19;PK_Tyr_Ser-Thr=1.2e-11
F4S1B_009784-T1	AAA=9.4e-14;AAA_16=1.4e-12;AAA_22=3.9e-13;Cdc6_C=3e-09
AF100-11A_002606-T1	Foie-gras_1=5.2e-121;Foie-gras_1=5.2e-121;Gryzun=9.1e-238
AFIS-23107-CDC-12_009820-T1	Cohesin_HEAT=2.6e-14;HEAT=1e-37;HEAT_2=5.6e-64;HEAT_2=5.6e-64;HEAT_2=5.6e-64;HEAT_2=5.6e-64;HEAT_2=5.6e-64;HEAT_2=5.6e-64;NACHT=2.8e-17;NB-ARC=1.3e-07;PNP_UDP_1=6.2e-09
DMC2AF100-1-3_009086-T1	Syja_N=3.9e-59
CF337_000581-T1	Iwr1=5.4e-24
JN10_002449-T1	SelO=3.2e-127
AF100-12-2_007429-T1	RhoGEF=2.6e-21
AF100-11-3_008983-T1	AAA=3.1e-20
IFM-61578_008257-T1	AICARFT_IMPCHas=1.1e-94;MGS=4e-26
AF100-12-39_006449-T1	Fungal_KA1=2.1e-37;Pkinase=4e-68;PK_Tyr_Ser-Thr=2.1e-38
ASFUM08-19-02-30_009636-T1	NmrA=9.2e-12
B5866_005028-T1	Fungal_trans=1.3e-13
F20063_000063-T1	Aldedh=5.9e-41
AF100-12-3G_004994-T1	p450=1.4e-61
W72310_003356-T1	Amino_oxidase=2e-61;DAO=1.7e-09;FAD_binding_2=1.6e-09;FAD_oxidored=3.8e-08;NAD_binding_8=1.7e-14;Ribonuc_L-PSP=3.2e-17;Thi4=2.5e-08
AF100-11C_005639-T1	Response_reg=1.4e-21
ASFUM08-31-08-91_009036-T1	DUF3435=7.9e-114
AZTEC-17-234_005890-T1	ABC2_membrane_3=8.6e-25;ABC_tran=5.1e-51;ABC_tran=5.1e-51
AF100-12-37_005101-T1	Fungal_trans=1.3e-13
IFM-59356-2_006519-T1	Cation_ATPase=9.3e-10;Hydrolase=9.2e-13;PhoLip_ATPase_C=4.3e-84;PhoLip_ATPase_N=8.2e-21
CM3249_000804-T1	Cpn60_TCP1=5.8e-85
NCPF-7816_003485-T1	MFS_1=2.4e-36;MFS_4=2.1e-08
F21732_000540-T1	Iwr1=5.3e-24
IFM-61407_006209-T1	Peptidase_C48=3.9e-19
AF100-12-3_004653-T1	ERCC4=3.2e-26
NCPF-7816_001654-T1	NB-ARC=2e-12;PNP_UDP_1=6.6e-16
COH-371_001629-T1	Troponin=6.6e-51
IFM-59359_006140-T1	Cupin_8=8.9e-50
B6081_001620-T1	Anticodon_2=6.3e-11;Pyr_redox=5.7e-21;Pyr_redox_2=7.1e-45;Pyr_redox_3=3.3e-13;tRNA-synt_1c=7.3e-105
F18304_002280-T1	Iwr1=5.4e-24
NCPF-7811_001490-T1	IBN_N=1.3e-10
B7518-CDC-26_004210-T1	CBF=2e-54
JN10_005740-T1	Myosin_head=2e-269;Myosin_N=5.9e-11;Myosin_tail_1=1.2e-18
AF100-12-37_006886-T1	Pkinase=2.5e-14
B5269-CDC-24_004199-T1	E1-E2_ATPase=1.7e-45;HMA=7.6e-29;HMA=7.6e-29;Hydrolase=3.3e-37
IFM-59359_002705-T1	Aminotran_5=6.4e-11
AZTEC-17-234_007191-T1	HECT=5.9e-37
AF100-12-26_004659-T1	AMP-binding=2.4e-55;AMP-binding=2.4e-55;Condensation=1.1e-22;PP-binding=1.1e-12
W72310_001659-T1	LysM=3.8e-31;LysM=3.8e-31;LysM=3.8e-31;LysM=3.8e-31
B6081_001578-T1	Helicase_C=1.3e-07;Methyltransf_11=1.8e-06;N6_Mtase=1.3e-13;ResIII=1.4e-12;SNF2-rel_dom=9.7e-15
AZTEC-8-224_002776-T1	Aminotran_1_2=1.5e-66
F21732_007855-T1	MFS_1=7.8e-29;Sugar_tr=1.6e-10
AF293_009588-T1	eIF2A=3.3e-07;NACHT=7.5e-21;WD40=8.3e-36;WD40=8.3e-36;WD40=8.3e-36
F21857_008188-T1	DUF5911=4.7e-16;Glyco_hydro_15=9e-48
AFUG-031815-1869_003480-T1	MMR_HSR1=1.2e-13;MnmE_helical=2.2e-24;Peptidase_C14=5.1e-25;Polysacc_deac_1=4.7e-27;TPR_11=7.1e-16;TPR_11=7.1e-16;TPR_12=3e-09;TPR_16=1.9e-11;TPR_16=1.9e-11;TPR_19=2.5e-10;TPR_2=1.3e-17;TPR_8=1.9e-10;TrmE_N=1.8e-38
AZTEC-9-222_007997-T1	Gln-synt_C=1e-79
ASFUM12-7504462_010609-T1	Ank=3.9e-18;Ank_2=1.2e-24;Ank_2=1.2e-24;Ank_4=8.6e-21;Ank_4=8.6e-21;Ank_5=1.4e-20
F21732_005447-T1	ArAE_2_N=9.8e-115
F18304_008510-T1	Pro-kuma_activ=8.8e-50
ASFUM08-31-08-91_006361-T1	Anticodon_1=1.5e-32;tRNA-synt_1=5.1e-221;tRNA-synt_1g=1.2e-15;tRNA-synt_1_2=2.5e-12
IFM-59361_008841-T1	E1-E2_ATPase=4.8e-46;HMA=5.1e-09;Hydrolase=9.6e-28
AF100-12-13_009996-T1	MFS_1=4.7e-17;Sugar_tr=5.4e-92
AF100-12-37_000317-T1	WD40=3.1e-17;WD40=3.1e-17;WD40=3.1e-17
AZTEC-11-1066_004130-T1	MIR=1.8e-51;PMT=3.1e-18;PMT_4TMC=2.4e-70
AF100-12-13_002437-T1	6PF2K=1.7e-70;6PF2K=1.7e-70;His_Phos_1=7.1e-31
AZTEC-14-484_004979-T1	CHAT=8.8e-36
AF100-12-7G_001867-T1	AAA_11=2.7e-52;AAA_11=2.7e-52;AAA_12=3.5e-58;AAA_19=1.8e-09;AAA_30=4.1e-13;DUF2075=6.1e-08;PhoH=1.1e-07;UvrD-helicase=1.2e-07
NCPF-7820_000465-T1	ABC1=2.1e-07;PBD=5.3e-23;Pkinase=8e-73;Pkinase_fungal=4e-07;PK_Tyr_Ser-Thr=4.3e-47
AF100-12-24_000900-T1	DNA_pol_B_palm=6.7e-36;DNA_pol_B_thumb=8.7e-27;DNA_pol_lambd_f=4e-21;HHH_8=2.3e-20
ASFUM08-36-03-25_003914-T1	Fungal_trans=9.7e-12;zf-C2H2=7.7e-09;zf-C2H2=7.7e-09
IFM-60514_004927-T1	DAO=1.8e-31
AZTEC-6-232_001481-T1	Hexokinase_1=6.5e-64;Hexokinase_2=2.4e-50
AF100-12-17_006304-T1	Fungal_trans=9.9e-21;Zn_clus=5.3e-10
SF3S10_004088-T1	DIL=3.6e-28;IQ=4.9e-13;IQ=4.9e-13;IQ=4.9e-13;Myosin_head=4e-265;Myosin_head=4e-265
AF100-12-25_007612-T1	Fn3-like=6.2e-24;Glyco_hydro_3=1.1e-33;Glyco_hydro_3_C=3e-61;PA14=2.6e-17
ASFUM09-7500806_009871-T1	HET=2.2e-23
AF100-10A_000371-T1	GIT_SHD=1.4e-18
AF100-12-7_000669-T1	CBS=7.2e-12;PALP=1.1e-66
AF100-12-38_001091-T1	AAA=5.1e-29;AAA_3=2.6e-29;AAA_5=4.7e-127;AAA_5=4.7e-127;AAA_5=4.7e-127;AAA_5=4.7e-127;AAA_5=4.7e-127;AAA_5=4.7e-127;AAA_5=4.7e-127;AAA_5=4.7e-127;AAA_5=4.7e-127;AAA_lid_5=1.6e-31;AAA_lid_7=2e-52;AAA_lid_7=2e-52;AAA_lid_7=2e-52
AF100-12-7G_002025-T1	Topoisom_bac=9.1e-107;Toprim=3.9e-17
AZTEC-3-226_008433-T1	FeoB_N=8.5e-08;MMR_HSR1=1.9e-18;NGP1NT=7.6e-52
CM2733_001538-T1	DDT=9.5e-18;WAC_Acf1_DNA_bd=1.5e-36;WHIM1=1.5e-07;WSD=2.1e-23
AF100-12-24_003060-T1	Metallophos=2.9e-09
CM5757_000305-T1	p450=1.3e-60
AZTEC-5-223_005121-T1	Fungal_trans=1.8e-12;Zn_clus=2.2e-09
ATCC46645_009913-T1	NACHT=5.1e-11;PNP_UDP_1=5.9e-08;WD40=3.4e-49;WD40=3.4e-49;WD40=3.4e-49;WD40=3.4e-49
CF098_008557-T1	BSD=6.3e-30;BSD=6.3e-30;PH_TFIIH=8.2e-30
AF100-12-5_002011-T1	Glyco_transf_41=4.9e-102;Glyco_transf_41=4.9e-102;TPR_10=8.6e-11;TPR_8=4.5e-14;TPR_8=4.5e-14
AF100-12-21_002401-T1	MFS_1=4e-33;MFS_1=4e-33;Sugar_tr=1.4e-97
AF100-12-2_000490-T1	Fuz_longin_1=2.2e-35;Fuz_longin_2=5.6e-32;Fuz_longin_3=1.6e-27
ASFUM09-7500806_009619-T1	Myb_DNA-bind_6=8.5e-07
AF100-11A_002428-T1	C2=3.1e-11;Kinase-like=2.9e-08;Pkinase=9.7e-71;Pkinase_C=2.8e-16;PK_Tyr_Ser-Thr=2.6e-32
B5854_000767-T1	Peptidase_M14=3.3e-72
AF100-12-18_005219-T1	Solute_trans_a=3e-91
AZTEC-7-225_009730-T1	Fungal_trans=4.5e-27
IFM-59073_003461-T1	DUF3435=2.3e-109
NCPF-7811_007434-T1	TPR_MLP1_2=1.9e-36
IFM-59359_007939-T1	Trp_halogenase=3.2e-13
AF100-10-5_003298-T1	Pyr_redox=4.2e-16;Pyr_redox_2=1.1e-57;Pyr_redox_3=5.5e-12;Pyr_redox_dim=5e-32
ATCC46645_006118-T1	MFS_1=3.1e-22;TRI12=1.2e-07
ASFUM12-7504462_007984-T1	SRF-TF=3.7e-07
AF100-12-38_003285-T1	Spt20=3.7e-66
AF100-12-24_008269-T1	DNA_pol_phi=2.1e-260
AZTEC-2-251_000910-T1	DEAD=1e-18;DSHCT=9.8e-52;Helicase_C=1.6e-07;rRNA_proc-arch=2.7e-28;Ski2_N=5.1e-40
NCPF-7820_006909-T1	DUF5911=4.4e-16;Glyco_hydro_15=8.3e-39
AZTEC-9-222_005472-T1	ABC_membrane=2e-110;ABC_membrane=2e-110;ABC_tran=1.3e-68;ABC_tran=1.3e-68
AF100-12-37_002353-T1	GTP_EFTU=7.9e-32;IF-2=1.2e-31;IF2_N=2e-13;MMR_HSR1=1.4e-10
ASFUM12-7504462_001895-T1	RINGv=1.7e-06
AZTEC-7-225_002948-T1	Cu_amine_oxid=2.8e-160;Cu_amine_oxidN2=2e-06
AF100-12-32_009526-T1	Fungal_trans=1.3e-09
AF100-11C_008174-T1	UVB_sens_prot=1.6e-109
CF337_007255-T1	Sacchrp_dh_C=1.5e-101;Sacchrp_dh_NADP=3.6e-27;Shikimate_DH=5.9e-09
AF100-12-26_005837-T1	PHM7_cyt=1.2e-37;PHM7_ext=3.3e-33;RSN1_7TM=2.3e-93;RSN1_TM=3.7e-48
F21857_005494-T1	ArAE_2_N=6.9e-114
IFM-61407_007325-T1	BBE=3.5e-09;FAD_binding_4=1e-19
F21857_001293-T1	Glyco_hydro_16=2e-07
AF100-11B_000809-T1	DUF676=2.4e-07
NCPF-7820_001688-T1	EFG_C=1.5e-32;EFG_III=9.4e-35;EFG_IV=1.1e-47;GTP_EFTU=1.9e-71;GTP_EFTU_D2=3.2e-15
NCPF-7820_009398-T1	DNA_mis_repair=7.4e-09;HATPase_c=3.1e-11;HATPase_c_3=8e-12
AF210_006981-T1	RED_N=1.3e-09
CF337_004788-T1	UEV=1.6e-40;Vps23_core=1.2e-23
AF106-6-2_004433-T1	FCH=5e-18;SH3_1=2.2e-14;SH3_2=6.1e-11;SH3_9=1.1e-13
IFM-59359_003774-T1	Fn3-like=3.9e-08;Glyco_hydro_3=9.5e-32;Glyco_hydro_3_C=1.1e-45
CM5757_000308-T1	Glyco_hydro_127=2.4e-33
IFM-59359_008868-T1	zf-CCHC=1.5e-50;zf-CCHC=1.5e-50;zf-CCHC=1.5e-50;zf-CCHC=1.5e-50;zf-CCHC=1.5e-50;zf-CCHC=1.5e-50
IFM-59359_005918-T1	ABC2_membrane_3=4.7e-22;ABC_tran=1.3e-50;ABC_tran=1.3e-50
IFM-61407_006492-T1	Pkinase=1e-46;Pkinase=1e-46;PK_Tyr_Ser-Thr=1.8e-35;PK_Tyr_Ser-Thr=1.8e-35
IFM-62516_003746-T1	Catalase=6.3e-165;Catalase-rel=2.3e-13
ASFUM08-12-12-13_008165-T1	LSM=3.7e-21
AF100-12-39_000511-T1	NUP214=1.7e-09
F18304_004750-T1	UEV=1.6e-40;Vps23_core=1.2e-23
COH-371_001610-T1	V-set=2.4e-15
AF100-12-24_003568-T1	MFS_1=2.7e-36;MFS_4=2.6e-08
AF100-10A_005327-T1	Peroxin-3=2e-163
AF100-10A_000766-T1	Cation_ATPase=4.5e-13;PhoLip_ATPase_C=5.5e-84;PhoLip_ATPase_N=1.5e-27
AF100-11B_004617-T1	Peptidase_M13=4.4e-63;Peptidase_M13_N=6.8e-90
COH-762_010363-T1	SH3_1=2e-14;SH3_2=7.3e-08;SH3_9=6.1e-16
B7518-CDC-26_003551-T1	Cu-oxidase=6.7e-24;Cu-oxidase_2=1e-44;Cu-oxidase_2=1e-44;Cu-oxidase_3=1e-42
F18304_002166-T1	Fe-ADH=4e-67;Fe-ADH_2=2e-13
COH-694_006591-T1	Fungal_trans=1.3e-13
ATCC46645_002381-T1	MBOAT=4.2e-43
B5269-CDC-24_004186-T1	Cu-oxidase=1.8e-20;Cu-oxidase_2=7.2e-41;Cu-oxidase_3=1.6e-41
AZTEC-11-1066_009257-T1	AAA=4.5e-51;AAA_2=3.1e-07;AAA_lid_3=1.6e-10
CF337_006301-T1	PEP-utilizers=7.3e-27;PEP-utilizers_C=1.9e-61;PPDK_N=2e-109
AZTEC-13-751_007473-T1	Peptidase_S8=4.5e-42;P_proprotein=1.8e-29
AF100-12-39_005655-T1	zf-C3H1=3.5e-13
CF337_000773-T1	DNA_pol_B_thumb=4.1e-24
TP32_001739-T1	AMP-binding=6.8e-139;AMP-binding=6.8e-139;Condensation=3.3e-107;Condensation=3.3e-107;PP-binding=3.5e-24;PP-binding=3.5e-24
AF100-12-18_003560-T1	Pyr_redox=1.8e-14;Pyr_redox_2=6.7e-46;Pyr_redox_dim=5.5e-09;Rhodanese=5.1e-11
AF100-12-5_001236-T1	Telomere_reg-2=2.3e-33
ATCC46645_009883-T1	NB-ARC=1.1e-13;TPR_10=6.1e-76;TPR_10=6.1e-76;TPR_10=6.1e-76;TPR_10=6.1e-76;TPR_10=6.1e-76;TPR_10=6.1e-76;TPR_10=6.1e-76;TPR_12=3.9e-71;TPR_12=3.9e-71;TPR_12=3.9e-71;TPR_12=3.9e-71;TPR_12=3.9e-71;TPR_16=9.7e-16;TPR_7=6.9e-39;TPR_7=6.9e-39;TPR_7=6.9e-39;TPR_7=6.9e-39;TPR_7=6.9e-39;TPR_7=6.9e-39;TPR_8=8.2e-27;TPR_8=8.2e-27;TPR_8=8.2e-27;TPR_8=8.2e-27;TPR_MalT=5e-28;TPR_MalT=5e-28;TPR_MalT=5e-28
AZTEC-8-224_005563-T1	DUF3818=2.7e-133;PX=2.1e-11;PXB=1.8e-39
AF106-6-3_009825-T1	Nucleopor_Nup85=8.3e-28;Nucleopor_Nup85=8.3e-28
AF100-10A_005194-T1	ADH_N=1.4e-29
AF106-6-9_001908-T1	GDE_C=4.1e-122;hDGE_amylase=2.5e-186;hGDE_central=3.7e-87;hGDE_N=2.1e-28
AF106-6-2_005378-T1	EamA=2.3e-12;TPT=6.1e-62
CF098_002132-T1	Fe-ADH=1.3e-63;Fe-ADH_2=3e-13
Moose312_006334-T1	PsaA_PsaB=0
